BUKRS,BELNR,GJAHR,BLDAT,BUDAT,BLART,WAERK,USNAM,XBLNR,BKTXT
3000,0000000001,2020,20200221,20240227,SA,COP,USER015,REF28289,Customer receipt
1000,0000000002,2024,20200627,20230424,AB,COP,USER002,REF22280,Expense report
1000,0000000003,2024,20230517,20200224,ZP,COP,USER046,REF95181,Customer receipt
3000,0000000004,2023,20210327,20220708,ZP,USD,USER001,REF30926,Customer receipt
2000,0000000005,2022,20210723,20201114,KR,USD,USER007,REF22156,Asset acquisition
1000,0000000006,2022,20241001,20211205,ZP,USD,USER003,REF70217,Vendor payment
1000,0000000007,2023,20200610,20230204,SA,EUR,USER040,REF57400,Vendor payment
1000,0000000008,2020,20200403,20230916,KR,USD,USER006,REF40512,Invoice payment
2000,0000000009,2022,20220717,20230725,SA,COP,USER024,REF56566,Expense report
3000,0000000010,2022,20231208,20231031,RE,EUR,USER041,REF32431,Vendor payment
3000,0000000011,2021,20201130,20220804,AB,USD,USER041,REF83000,Expense report
3000,0000000012,2022,20240922,20240422,RE,COP,USER003,REF51347,Asset acquisition
2000,0000000013,2020,20210308,20230307,SA,COP,USER042,REF75435,Asset acquisition
3000,0000000014,2023,20201019,20210626,KR,COP,USER048,REF83579,Vendor payment
2000,0000000015,2024,20220527,20230410,AB,USD,USER015,REF28131,Vendor payment
2000,0000000016,2020,20240327,20200406,RE,COP,USER041,REF30969,Customer receipt
2000,0000000017,2024,20200510,20220227,AB,EUR,USER030,REF79352,Salary posting
3000,0000000018,2020,20231025,20240116,RE,EUR,USER035,REF44973,Customer receipt
2000,0000000019,2020,20210824,20220609,KR,USD,USER001,REF44522,Vendor payment
1000,0000000020,2024,20200805,20241117,SA,EUR,USER033,REF89818,Expense report
1000,0000000021,2022,20240410,20201126,ZP,EUR,USER001,REF88504,Salary posting
2000,0000000022,2020,20200817,20220113,SA,COP,USER004,REF41571,Vendor payment
1000,0000000023,2020,20240207,20220922,RE,EUR,USER050,REF26483,Expense report
3000,0000000024,2023,20230130,20201204,SA,EUR,USER039,REF65461,Expense report
