BUKRS,BELNR,GJAHR,BUZEI,KOART,KONTO,DMBTR,WRBTR,WAERS,SGTXT
3000,0000000001,2020,001,A,990791,135931.39,133377.03,COP,Revenue rec
1000,0000000002,2024,001,K,185980,6679.92,6311.11,COP,Line item desc
1000,0000000003,2024,001,K,422770,61624.25,58950.48,COP,Cost allocation
1000,0000000003,2024,002,S,623649,82568.99,84525.46,COP,Line item desc
1000,0000000003,2024,003,M,733034,52346.62,47245.61,COP,Line item desc
3000,0000000004,2023,001,A,915097,19494.9,20739.74,USD,Revenue rec
3000,0000000004,2023,002,M,119449,165112.43,158899.78,USD,Clearing entry
3000,0000000004,2023,003,K,459270,114158.83,125146.41,USD,Tax posting
3000,0000000004,2023,004,K,499948,44873.14,44462.01,USD,Clearing entry
2000,0000000005,2022,001,D,505908,92384.9,91499.68,USD,Line item desc
2000,0000000005,2022,002,A,223911,116827.46,106197.43,USD,Cost allocation
2000,0000000005,2022,003,A,290006,152347.01,150285.71,USD,Cost allocation
2000,0000000005,2022,004,K,481506,134941.62,135182.28,USD,Tax posting
1000,0000000006,2022,001,S,480708,196184.11,200910.18,USD,Tax posting
1000,0000000006,2022,002,S,479492,20756.48,22479.29,USD,Tax posting
1000,0000000006,2022,003,D,905537,123631.6,132939.67,USD,Tax posting
1000,0000000006,2022,004,K,814384,1472.25,1423.86,USD,Clearing entry
1000,0000000007,2023,001,A,808761,166715.69,166686.93,EUR,Cost allocation
1000,0000000008,2020,001,M,544607,970.24,971.79,USD,Tax posting
1000,0000000008,2020,002,M,771980,101701.81,105498.69,USD,Tax posting
1000,0000000008,2020,003,K,892920,150877.23,151593.76,USD,Clearing entry
1000,0000000008,2020,004,S,625288,94882.83,92577.22,USD,Tax posting
2000,0000000009,2022,001,D,996945,165863.99,162902.39,COP,Revenue rec
2000,0000000009,2022,002,K,276387,176747.43,172600.19,COP,Cost allocation
2000,0000000009,2022,003,A,789808,98025.95,96541.78,COP,Revenue rec
3000,0000000010,2022,001,S,871072,161704.63,156361.22,EUR,Tax posting
3000,0000000010,2022,002,A,503713,131181.74,134304.4,EUR,Clearing entry
3000,0000000010,2022,003,A,880750,126621.0,115941.96,EUR,Revenue rec
3000,0000000010,2022,004,D,388438,168399.76,180311.31,EUR,Revenue rec
3000,0000000011,2021,001,D,365486,129572.51,117224.71,USD,Revenue rec
3000,0000000011,2021,002,A,277894,48305.44,49276.53,USD,Line item desc
3000,0000000011,2021,003,S,812220,111853.68,119275.16,USD,Clearing entry
3000,0000000012,2022,001,D,772853,62998.37,64557.5,COP,Revenue rec
3000,0000000012,2022,002,D,562344,175511.98,186208.72,COP,Revenue rec
3000,0000000012,2022,003,K,910394,55967.56,61204.3,COP,Clearing entry
3000,0000000012,2022,004,D,657942,1507.91,1422.23,COP,Clearing entry
2000,0000000013,2020,001,M,297644,184986.33,173388.79,COP,Clearing entry
2000,0000000013,2020,002,A,730021,24217.08,23634.78,COP,Clearing entry
2000,0000000013,2020,003,S,950838,8627.73,9112.27,COP,Tax posting
3000,0000000014,2023,001,K,941934,91746.68,98636.37,COP,Line item desc
3000,0000000014,2023,002,A,329033,70382.04,65830.83,COP,Revenue rec
2000,0000000015,2024,001,K,941131,62879.5,65873.75,USD,Cost allocation
2000,0000000016,2020,001,D,658852,72224.78,71530.78,COP,Clearing entry
2000,0000000016,2020,002,D,405504,86404.66,93740.85,COP,Tax posting
2000,0000000016,2020,003,A,379422,56262.48,58419.1,COP,Tax posting
2000,0000000016,2020,004,K,359669,172760.61,163031.1,COP,Cost allocation
2000,0000000017,2024,001,M,749415,39353.37,39152.96,EUR,Line item desc
2000,0000000017,2024,002,D,920573,67168.08,61172.47,EUR,Clearing entry
2000,0000000017,2024,003,K,155964,56771.25,61053.23,EUR,Line item desc
2000,0000000017,2024,004,A,557400,35848.9,32586.08,EUR,Clearing entry
3000,0000000018,2020,001,M,443825,136428.21,125922.82,EUR,Revenue rec
2000,0000000019,2020,001,A,598887,118400.23,119957.94,USD,Tax posting
2000,0000000019,2020,002,D,347525,40476.81,43415.77,USD,Line item desc
2000,0000000019,2020,003,S,363833,85451.88,80580.49,USD,Revenue rec
1000,0000000020,2024,001,S,382687,172449.09,179547.59,EUR,Tax posting
1000,0000000020,2024,002,D,996546,105644.58,102293.4,EUR,Revenue rec
1000,0000000020,2024,003,D,529805,133752.85,121225.67,EUR,Tax posting
1000,0000000020,2024,004,A,653498,5847.21,5812.56,EUR,Tax posting
1000,0000000021,2022,001,K,767427,12139.49,12979.88,EUR,Clearing entry
1000,0000000021,2022,002,K,267688,136056.0,138769.34,EUR,Cost allocation
1000,0000000021,2022,003,A,199460,176615.09,189426.59,EUR,Clearing entry
