VBELN,ERDAT,KUNNR,VKORG,VTWEG,SPART,NETWR,WAERK,AUART
0000000001,20211128,0000000312,1000,10,05,303193.53,USD,ZOR
0000000002,20220831,0000000210,1000,30,04,88841.23,EUR,ZOR
0000000003,20230128,0000000180,2000,10,02,886417.89,COP,OR
0000000004,20220104,0000000114,2000,20,03,590170.92,EUR,RE
0000000005,20210205,0000000306,2000,10,01,769419.45,EUR,RE
0000000006,20240729,0000000212,1000,10,04,708731.01,USD,OR
0000000007,20200105,0000000311,1000,10,03,568070.05,COP,CR
0000000008,20220807,0000000411,1000,20,01,43175.79,EUR,ZOR
0000000009,20200723,0000000381,1000,30,02,631298.16,COP,OR
0000000010,20201005,0000000084,1000,30,02,250133.46,EUR,RE
0000000011,20210403,0000000102,2000,30,03,318971.35,USD,RE
0000000012,20220328,0000000020,1000,20,04,704929.37,COP,OR
0000000013,20200614,0000000435,2000,10,05,165710.45,USD,CR
0000000014,20210117,0000000086,1000,30,04,143537.44,EUR,RE
0000000015,20210322,0000000293,2000,30,01,597486.09,EUR,CR
0000000016,20231130,0000000028,2000,30,02,580722.77,COP,ZOR
0000000017,20211217,0000000488,1000,20,01,741559.35,COP,ZOR
0000000018,20221223,0000000424,1000,20,03,200465.15,USD,RE
0000000019,20240206,0000000339,1000,20,02,625557.99,COP,ZOR
0000000020,20240103,0000000316,1000,30,02,654283.06,COP,RE
0000000021,20201104,0000000334,2000,30,05,331845.42,EUR,ZOR
0000000022,20211015,0000000489,1000,30,05,961468.6,COP,CR
0000000023,20210622,0000000429,2000,10,03,447147.3,USD,OR
0000000024,20241015,0000000347,1000,20,04,708910.21,EUR,CR
0000000025,20231110,0000000137,1000,30,05,433752.24,EUR,CR
0000000026,20221108,0000000006,1000,10,04,377500.7,EUR,OR
0000000027,20240830,0000000028,1000,20,03,446344.35,USD,OR
0000000028,20240223,0000000148,2000,20,02,742092.85,COP,ZOR
0000000029,20221119,0000000457,1000,10,03,363828.36,COP,CR
0000000030,20220320,0000000405,1000,20,05,182383.54,USD,OR
0000000031,20230525,0000000235,1000,10,02,434033.13,EUR,ZOR
0000000032,20230214,0000000202,2000,10,02,987260.75,EUR,CR
0000000033,20210413,0000000038,2000,20,01,117626.76,COP,RE
0000000034,20240824,0000000031,2000,30,01,749677.05,COP,RE
0000000035,20200717,0000000455,2000,20,01,665007.24,EUR,CR
0000000036,20200821,0000000103,2000,20,04,842886.72,COP,CR
0000000037,20210901,0000000012,2000,20,01,272079.8,COP,ZOR
0000000038,20230914,0000000279,2000,20,03,493870.2,EUR,CR
0000000039,20210121,0000000187,2000,10,01,702696.39,COP,OR
0000000040,20200922,0000000199,2000,10,03,244385.53,USD,RE
0000000041,20240722,0000000102,1000,30,04,810526.61,COP,RE
0000000042,20240321,0000000021,1000,10,01,754185.64,COP,RE
0000000043,20230625,0000000444,1000,10,02,275109.9,EUR,RE
0000000044,20230723,0000000009,2000,20,05,199418.93,COP,RE
0000000045,20241223,0000000041,2000,10,02,847540.98,COP,RE
0000000046,20230817,0000000387,1000,30,04,276655.57,COP,OR
0000000047,20230312,0000000058,1000,10,02,152271.99,USD,ZOR
0000000048,20241030,0000000106,1000,10,05,103895.83,USD,RE
0000000049,20221022,0000000386,1000,20,03,939058.77,EUR,RE
0000000050,20240605,0000000170,1000,10,05,582080.0,USD,CR
0000000051,20231209,0000000121,1000,30,01,323295.47,COP,ZOR
0000000052,20230611,0000000232,2000,30,01,785675.85,USD,CR
0000000053,20210213,0000000429,2000,10,04,474046.94,EUR,ZOR
0000000054,20230126,0000000422,2000,30,02,860568.71,USD,RE
0000000055,20210506,0000000112,2000,30,03,637338.94,EUR,RE
0000000056,20230902,0000000463,1000,10,02,645144.26,EUR,OR
0000000057,20210207,0000000436,2000,10,04,576077.82,EUR,RE
0000000058,20241104,0000000156,1000,10,05,619368.55,COP,RE
0000000059,20210628,0000000256,1000,30,02,473601.3,EUR,ZOR
0000000060,20240821,0000000403,2000,20,03,753979.31,EUR,RE
0000000061,20230808,0000000496,2000,20,05,689827.13,USD,OR
0000000062,20220326,0000000384,2000,30,03,110591.42,USD,ZOR
0000000063,20240224,0000000049,1000,30,02,421363.56,USD,OR
0000000064,20240624,0000000493,2000,10,03,337142.94,USD,CR
0000000065,20231226,0000000173,1000,20,03,625191.98,USD,OR
0000000066,20210327,0000000358,2000,10,03,315390.2,EUR,RE
0000000067,20200912,0000000116,1000,10,03,772259.12,COP,RE
0000000068,20231227,0000000018,1000,30,01,974806.02,EUR,ZOR
0000000069,20230327,0000000013,2000,10,03,727366.46,EUR,OR
0000000070,20231001,0000000278,1000,20,03,953449.19,EUR,ZOR
0000000071,20230821,0000000383,1000,10,04,700415.19,USD,RE
0000000072,20200725,0000000297,2000,10,04,190792.87,EUR,RE
0000000073,20220101,0000000164,2000,20,05,159038.4,USD,CR
0000000074,20230215,0000000070,2000,30,03,357370.12,USD,OR
0000000075,20201101,0000000025,2000,10,01,687231.71,USD,ZOR
0000000076,20200215,0000000072,2000,30,03,674721.15,USD,CR
0000000077,20220727,0000000450,2000,20,01,584299.27,COP,OR
0000000078,20230331,0000000419,2000,20,02,439807.44,USD,RE
0000000079,20240901,0000000185,2000,30,03,723733.81,COP,OR
0000000080,20241009,0000000197,2000,20,01,92047.84,COP,RE
0000000081,20210219,0000000172,1000,10,05,821161.74,EUR,CR
0000000082,20201207,0000000442,1000,30,04,637756.87,COP,CR
0000000083,20211127,0000000311,1000,30,04,634924.25,USD,RE
0000000084,20200721,0000000111,1000,20,05,740955.49,COP,ZOR
0000000085,20220824,0000000038,1000,30,05,912179.7,USD,CR
0000000086,20231003,0000000284,2000,20,01,444254.31,USD,RE
0000000087,20210519,0000000315,1000,20,01,103686.5,COP,CR
0000000088,20210905,0000000422,2000,30,02,646963.26,EUR,RE
0000000089,20200410,0000000193,2000,20,02,720153.31,COP,CR
0000000090,20240404,0000000433,2000,20,03,5886.29,USD,RE
0000000091,20231221,0000000009,1000,20,03,12893.64,EUR,CR
0000000092,20200101,0000000166,2000,20,01,277983.56,USD,CR
0000000093,20230930,0000000033,1000,10,04,729874.98,COP,CR
0000000094,20231220,0000000122,2000,20,04,832591.15,EUR,RE
0000000095,20220607,0000000130,1000,30,04,347874.8,EUR,ZOR
0000000096,20230623,0000000161,2000,20,01,496923.01,USD,RE
0000000097,20241205,0000000374,1000,20,05,422756.63,USD,RE
0000000098,20221212,0000000290,2000,10,03,846364.69,EUR,CR
0000000099,20200130,0000000009,1000,20,03,948424.95,USD,OR
0000000100,20241102,0000000176,1000,10,01,417106.19,USD,ZOR
0000000101,20240606,0000000474,2000,30,04,24971.02,EUR,RE
0000000102,20240402,0000000489,2000,10,01,31998.7,EUR,CR
0000000103,20230727,0000000097,2000,10,03,155420.66,USD,OR
0000000104,20240225,0000000044,1000,30,01,246127.68,COP,RE
0000000105,20210508,0000000405,1000,10,05,865947.63,EUR,CR
0000000106,20241125,0000000362,2000,10,04,972951.37,COP,OR
0000000107,20240125,0000000214,1000,10,02,969725.75,USD,CR
0000000108,20210629,0000000176,2000,10,05,570014.62,EUR,RE
0000000109,20200924,0000000388,1000,20,02,863889.81,USD,CR
0000000110,20221025,0000000067,1000,10,05,143618.47,COP,CR
0000000111,20211213,0000000408,2000,10,02,22253.03,COP,RE
0000000112,20240928,0000000269,1000,10,01,174480.74,USD,ZOR
0000000113,20211205,0000000239,1000,20,01,602575.12,EUR,RE
0000000114,20220419,0000000235,1000,10,05,15563.12,EUR,RE
0000000115,20210914,0000000055,2000,30,01,444493.24,COP,OR
0000000116,20221026,0000000498,1000,30,03,67227.3,USD,OR
0000000117,20220109,0000000149,2000,20,03,536085.51,EUR,RE
0000000118,20241221,0000000154,2000,20,02,2386.11,EUR,OR
0000000119,20231218,0000000332,2000,30,04,934483.86,COP,CR
0000000120,20200204,0000000469,1000,10,05,477698.61,COP,CR
0000000121,20240820,0000000133,1000,10,04,303730.51,COP,CR
0000000122,20201123,0000000410,1000,20,03,120376.06,USD,RE
0000000123,20200215,0000000064,1000,30,05,570446.66,COP,ZOR
0000000124,20200121,0000000477,1000,10,02,378768.22,EUR,ZOR
0000000125,20200127,0000000342,1000,30,05,30622.42,EUR,OR
0000000126,20230308,0000000487,2000,30,05,247514.56,COP,OR
0000000127,20230515,0000000019,2000,30,01,452897.95,USD,ZOR
0000000128,20221227,0000000480,2000,10,05,486500.07,COP,RE
0000000129,20211005,0000000029,2000,30,05,737762.87,EUR,ZOR
0000000130,20201217,0000000129,2000,20,05,284624.39,COP,CR
0000000131,20210817,0000000093,1000,20,04,491992.1,EUR,OR
0000000132,20200120,0000000159,1000,10,03,321593.66,EUR,OR
0000000133,20240702,0000000101,1000,10,01,216490.14,COP,ZOR
0000000134,20240924,0000000304,1000,30,04,891597.42,EUR,OR
0000000135,20201006,0000000204,2000,10,02,343840.28,COP,ZOR
0000000136,20230508,0000000448,2000,10,04,98621.62,USD,RE
0000000137,20220305,0000000071,2000,30,05,150188.63,USD,RE
0000000138,20210304,0000000493,1000,30,03,292875.87,USD,CR
0000000139,20230513,0000000022,2000,30,05,201232.05,USD,OR
0000000140,20210806,0000000251,1000,20,05,644175.94,COP,ZOR
0000000141,20241024,0000000425,2000,20,01,58417.98,EUR,CR
0000000142,20230501,0000000201,2000,20,01,395902.1,COP,ZOR
0000000143,20201025,0000000102,2000,20,03,780715.01,USD,ZOR
0000000144,20220823,0000000233,1000,20,02,81817.71,COP,RE
0000000145,20210921,0000000126,2000,30,01,191673.84,COP,OR
0000000146,20231224,0000000134,2000,30,05,573217.01,COP,ZOR
0000000147,20200430,0000000368,1000,20,04,542070.64,USD,RE
0000000148,20230602,0000000411,1000,30,05,174683.6,EUR,OR
0000000149,20200829,0000000400,2000,20,05,843429.74,COP,OR
0000000150,20221224,0000000446,1000,20,04,966209.64,EUR,CR
0000000151,20201101,0000000210,2000,20,01,721454.19,COP,RE
0000000152,20230827,0000000332,1000,10,05,411798.55,USD,ZOR
0000000153,20210430,0000000168,1000,30,05,13581.79,EUR,CR
0000000154,20221230,0000000398,2000,10,01,697933.86,USD,ZOR
0000000155,20231104,0000000238,2000,20,01,231788.87,EUR,CR
0000000156,20200212,0000000018,1000,20,02,483544.23,USD,CR
0000000157,20240607,0000000145,2000,10,02,662988.27,USD,ZOR
0000000158,20230807,0000000230,2000,20,04,168264.5,EUR,OR
0000000159,20240222,0000000279,1000,30,03,570660.46,COP,ZOR
0000000160,20220315,0000000260,2000,30,04,61790.1,COP,OR
0000000161,20220110,0000000248,2000,10,01,458108.75,USD,RE
0000000162,20241021,0000000355,1000,10,03,178387.74,USD,RE
0000000163,20240930,0000000324,2000,20,02,905561.04,COP,ZOR
0000000164,20240417,0000000025,1000,20,04,385866.33,COP,CR
0000000165,20230607,0000000047,1000,20,01,344199.46,COP,RE
0000000166,20220331,0000000309,1000,10,02,590078.74,COP,RE
0000000167,20230219,0000000063,1000,10,02,191764.92,EUR,RE
0000000168,20210306,0000000394,1000,10,04,310261.22,COP,OR
0000000169,20200709,0000000222,2000,30,05,97047.82,USD,CR
0000000170,20240508,0000000387,1000,10,04,833853.79,USD,RE
0000000171,20210521,0000000424,2000,30,02,984090.21,COP,CR
0000000172,20241224,0000000124,2000,30,05,133981.73,EUR,ZOR
0000000173,20221005,0000000416,1000,30,04,104315.01,COP,ZOR
0000000174,20231025,0000000168,1000,20,01,539008.52,COP,RE
0000000175,20230924,0000000095,1000,30,01,972869.61,COP,OR
0000000176,20230106,0000000269,1000,30,01,259723.11,USD,CR
0000000177,20200330,0000000331,2000,20,02,209691.36,COP,OR
0000000178,20211018,0000000302,2000,30,03,192691.12,EUR,RE
0000000179,20210821,0000000363,1000,30,05,183906.56,COP,CR
0000000180,20221119,0000000498,1000,10,03,723991.85,COP,RE
0000000181,20240206,0000000377,1000,30,05,688082.23,COP,CR
