VBELN,POSNR,MATNR,KWMENG,NETWR,WAERK,MEINS,WERKS,LGORT
0000000001,000010,MAT00000009,380.324,244152.8,USD,UN,0001,0003
0000000001,000020,MAT00000085,441.172,226241.83,USD,M,0003,0006
0000000001,000030,MAT00000077,861.897,948310.79,USD,L,0003,0006
0000000001,000040,MAT00000056,695.755,567137.73,USD,L,0004,0007
0000000001,000050,MAT00000107,480.15,93912.54,USD,UN,0004,0005
0000000002,000010,MAT00000086,257.436,1212711.49,EUR,M,0004,0009
0000000003,000010,MAT00000038,596.295,194863.24,COP,UN,0001,0003
0000000003,000020,MAT00000298,78.284,176464.66,COP,ST,0003,0003
0000000003,000030,MAT00000220,616.803,360663.22,COP,KG,0001,0002
0000000003,000040,MAT00000232,687.753,720166.8,COP,M,0003,0007
0000000003,000050,MAT00000201,17.186,44830.88,COP,KG,0001,0002
0000000004,000010,MAT00000052,495.288,1295673.41,EUR,L,0004,0002
0000000004,000020,MAT00000272,56.667,118193.2,EUR,UN,0002,0002
0000000005,000010,MAT00000136,449.765,347528.92,EUR,ST,0001,0004
0000000005,000020,MAT00000075,747.543,2540853.8,EUR,L,0001,0008
0000000006,000010,MAT00000263,313.358,55176.08,USD,M,0004,0002
0000000007,000010,MAT00000273,873.594,3772580.75,COP,ST,0001,0006
0000000007,000020,MAT00000120,184.486,646874.33,COP,UN,0001,0008
0000000007,000030,MAT00000118,775.418,2616190.54,COP,M,0003,0009
0000000008,000010,MAT00000040,897.849,117725.96,EUR,KG,0002,0002
0000000008,000020,MAT00000083,513.402,1290102.22,EUR,L,0001,0007
0000000009,000010,MAT00000154,37.172,106241.66,COP,KG,0004,0004
0000000009,000020,MAT00000212,333.429,1205422.52,COP,M,0002,0001
0000000009,000030,MAT00000106,98.951,58003.1,COP,M,0004,0001
0000000009,000040,MAT00000032,581.248,331642.67,COP,M,0004,0007
0000000009,000050,MAT00000222,342.331,1242189.11,COP,ST,0001,0009
0000000010,000010,MAT00000208,880.464,1116225.85,EUR,UN,0003,0006
0000000010,000020,MAT00000101,518.052,2082418.8,EUR,KG,0001,0001
0000000010,000030,MAT00000019,267.895,762656.88,EUR,KG,0003,0007
0000000011,000010,MAT00000282,360.891,1612002.66,USD,L,0004,0008
0000000011,000020,MAT00000083,490.137,2052840.8,USD,L,0003,0009
0000000011,000030,MAT00000042,283.208,11736.14,USD,M,0002,0004
0000000012,000010,MAT00000179,608.965,1807310.69,COP,UN,0002,0008
0000000012,000020,MAT00000140,769.995,1550354.13,COP,L,0004,0003
0000000012,000030,MAT00000054,409.904,1426367.54,COP,KG,0003,0006
0000000013,000010,MAT00000229,843.01,32708.79,USD,L,0004,0009
0000000013,000020,MAT00000060,453.511,487342.92,USD,ST,0001,0003
0000000013,000030,MAT00000200,275.906,1267663.91,USD,M,0002,0002
0000000014,000010,MAT00000144,988.32,1832305.75,EUR,KG,0001,0007
0000000014,000020,MAT00000139,840.401,3992736.75,EUR,ST,0003,0007
0000000014,000030,MAT00000119,93.815,250800.33,EUR,L,0004,0002
0000000014,000040,MAT00000272,911.145,2718747.34,EUR,UN,0002,0004
0000000014,000050,MAT00000178,113.81,249263.25,EUR,L,0001,0006
0000000015,000010,MAT00000199,906.081,1514097.59,EUR,M,0001,0006
0000000015,000020,MAT00000182,504.893,759020.79,EUR,L,0004,0002
0000000015,000030,MAT00000080,184.719,107630.22,EUR,UN,0004,0006
0000000015,000040,MAT00000112,512.21,2309867.34,EUR,ST,0001,0006
0000000015,000050,MAT00000277,691.398,936954.91,EUR,ST,0001,0003
0000000016,000010,MAT00000049,748.164,966380.99,COP,L,0001,0001
0000000016,000020,MAT00000239,609.518,2414148.42,COP,L,0002,0004
0000000016,000030,MAT00000202,934.5,1500218.26,COP,ST,0003,0001
0000000016,000040,MAT00000150,18.558,71701.8,COP,ST,0002,0004
0000000016,000050,MAT00000226,206.029,878250.12,COP,M,0002,0007
0000000017,000010,MAT00000285,821.739,50504.08,COP,KG,0002,0009
0000000018,000010,MAT00000093,770.017,2067341.64,USD,UN,0003,0007
0000000018,000020,MAT00000169,404.344,746600.98,USD,KG,0004,0003
0000000018,000030,MAT00000031,130.187,642065.36,USD,UN,0004,0004
0000000018,000040,MAT00000195,752.787,1270282.9,USD,KG,0001,0001
0000000019,000010,MAT00000130,550.974,1651522.53,COP,ST,0001,0007
0000000020,000010,MAT00000183,551.989,1934230.17,COP,KG,0001,0007
0000000020,000020,MAT00000178,975.52,3181658.48,COP,L,0001,0002
0000000020,000030,MAT00000222,927.992,4547819.67,COP,ST,0002,0004
0000000020,000040,MAT00000053,564.051,696253.27,COP,L,0002,0001
0000000020,000050,MAT00000260,402.695,1245100.72,COP,M,0004,0008
0000000021,000010,MAT00000027,300.61,283342.96,EUR,ST,0001,0006
0000000021,000020,MAT00000090,584.538,699680.3,EUR,ST,0004,0006
0000000021,000030,MAT00000216,612.72,2139514.08,EUR,L,0004,0005
0000000021,000040,MAT00000059,313.153,1535786.86,EUR,L,0004,0004
